JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Python/Django Ecommerce Website Developer,WebLead Technologies,"Bengaluru, Karnataka",Just posted,2021-03-31,US based WebLead Ecommerce Company is looking for Sr. Python Dev/Full Stack to be located in Pune India. Looking for someone that has “built from the ground up”…,"₹20,029 - ₹90,400 a month",https://www.indeed.com/company/Renco-Technologies/jobs/Python-Django-Ecommerce-Website-Developer-a3abc6b3af4fccf5?fccid=9b84a88b1258c0bb&vjs=3
Python Developer,Infosys Limited,"Bengaluru, Karnataka",Just posted,2021-03-31,"Educational Requirements Master of Science (Technology),Master Of Comp. Applications,Master Of Engineering,Master Of Technology,Bachelor Of Comp.",,https://www.indeed.com/rc/clk?jk=7dd6a808b3abbfa2&fccid=c67533a523c83a4c&vjs=3
Python/Django Developer,Ernest Talent,"Bengaluru, Karnataka",2 days ago,2021-03-31,4+ years of experience in Python Django development. Python django: 4 years (Required).,,https://www.indeed.com/company/Ernest-Talent/jobs/Python-Django-Developer-6bbcaecc2eed17d1?fccid=e4c10798223bc2cb&vjs=3
Python Developer,HRnit Services,"Bengaluru, Karnataka",5 days ago,2021-03-31,"∙ Strong ability to manipulate data using Pandas/Numpy and other python libraries, Should. Skills Mandatory: *Python, Flask, Mongo DB, Rest API, HTML, CSS,…","₹45,000 a month",https://www.indeed.com/company/HRnit-Services/jobs/Python-Developer-05fa30dd439329ad?fccid=cc144f44c9c5cdf1&vjs=3
Python Django developer Jobs in Bengaluru / Bangalore,V2Soft Private Limited,"Bengaluru, Karnataka",Today,2021-03-31,"Looking for Python Django developer. Expert in Python, with knowledge of Python web framework Django. Experience in Bit Coins and related technology.",,https://www.indeed.com/rc/clk?jk=68465c8659cc96c5&fccid=fc125b923321d3c6&vjs=3
Python Developer,gaugework,"Bengaluru, Karnataka",Today,2021-03-31,⦁ excellent python coding skill and understanding of python best practices. ⦁ strong knowledge of building restful apis using python (Django rest framework).,"₹5,00,000 a year",https://www.indeed.com/company/gaugework/jobs/Python-Developer-49921d761210901a?fccid=842819d08fa0b043&vjs=3
Python Developer (MEAS),Mercedes-Benz Research and Development India Priva...,"Bengaluru, Karnataka",17 days ago,2021-03-31,Experience in developing application using python Django. Experience in developing test automation framework using python. Automotive domain is preferred.,,https://www.indeed.com/rc/clk?jk=e842d9e389cf946e&fccid=33fa1494c1a3ee87&vjs=3
Python Developer,HCL Technologies,"Bengaluru, Karnataka",30+ days ago,2021-03-31,"HCL Technologies continues to grow its strong presence in India, contributing to the cause of nation-building through advanced technology solutions.",,https://www.indeed.com/company/HCL-Technologies/jobs/Python-Developer-495d526567a70a5b?fccid=92a79710d9899fa9&vjs=3
Python Developer,Airbus,"Bengaluru, Karnataka",7 days ago,2021-03-31,"Coaching, mentoring and enabling other developers. Proven track record as software developer acting across the entire development lifecycle.",,https://www.indeed.com/rc/clk?jk=bd8e2447d241640d&fccid=2d0740e02e80cf22&vjs=3
Python / Perl Dev (Application Development),Morgan Stanley,"Bengaluru, Karnataka",Today,2021-03-31,We are looking for an innovative developer to join our operational analytics tooling team. Python / Perl Dev (Application Development).,,https://www.indeed.com/rc/clk?jk=108cb7c867461a41&fccid=0c39fb2c91742dcf&vjs=3
Python Developer,VRR VENTURES,"Bengaluru, Karnataka",5 days ago,2021-03-31,To be able to integrate user-facing elements developed by front-end developers with server-side logic. Python Developer - (for a leading Security Execution…,"₹6,00,000 - ₹8,00,000 a year",https://www.indeed.com/company/VRR-VENTURES/jobs/Python-Developer-cf6a45f229622729?fccid=e4abbe2a4947833d&vjs=3
Python Developer,KoiReader Technologies,"Bengaluru, Karnataka",23 days ago,2021-03-31,"Design, build and maintain efficient, reusable, and reliable Python code. Design and write highly efficient complex algorithms. What we have to offer:","₹3,00,000 - ₹6,00,000 a year",https://www.indeed.com/company/asepsislife/jobs/Python-Developer-7f9cbb020d0d5600?fccid=e6a420e7b17c7d49&vjs=3
Python Developer,Xpheno,"Bengaluru, Karnataka",30+ days ago,2021-03-31,"We are hiring for a leading Multinational Technology Company that specializes in enterprise infra solutions, server infrastructure, cloud based products and…","₹10,00,000 - ₹12,00,000 a year",https://www.indeed.com/rc/clk?jk=d86c3f8265b4ae16&fccid=db03645b64fe84d5&vjs=3
Software Engineering - Python Developer,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",5 days ago,2021-03-31,Prime Finance Technology are looking to hire an Analytics Technology Software Engineer to help the Business drive profit and cost saving opportunities through…,,https://www.indeed.com/rc/clk?jk=c65d85f463227704&fccid=aaf3b433897ea465&vjs=3
Sr API Developer (Python),SteelEye,"Bengaluru, Karnataka",Today,2021-03-31,"SteelEye is a fast growing FinTech company based in London and has offices in Bangalore and Paris, that offers a data platform to help financial institutions…",₹30 an hour,https://www.indeed.com/rc/clk?jk=1e18f4e38f2155b7&fccid=d9fba55a158f1d79&vjs=3
